Property address,Property city,Tags
204 Medford Avenue,Patchogue,
2054 North Country Road,Wading River,
91 Gilbert Avenue,New Haven,
240-17 129th Rd,Rosedale,
130 Wagstaff Ln,West Islip,
106 Elm Avenue,Glen Cove,
411 North 4th Street,Lindenhurst,
48 Wellington Road,Garden City,
2140 Pacific Boulevard,Atlantic Beach,
74 Lehrer Avenue,Elmont,
30 The Hemlocks,Roslyn,
65 Buena Vista Boulevard,Lindenhurst,
34 Mc Cue Avenue,Wheatley Heights,
150 Maple Avenue,Uniondale,
7 Monterey Lane,Yaphank,
467 Landing Avenue,Smithtown,
30 Knoll Street,Inwood,
634 Waterview Road,Oceanside,
2279 Townsend Road,Seaford,
315 Denton Avenue,Lynbrook,
164 Landing Road,Glen Cove,
115 Hammond Lane,Centereach,
130 Grand Boulevard,Deer Park,
3327 Parkway Drive,Baldwin,
7 Hillsdale Lane,Coram,
48 Roosevelt Boulevard,East Patchogue,
88 North Coleman Road,Centereach,
159 Virginia Avenue,Oceanside,
18 Willowood Lane,Coram,
37 Walnut Street,Central Islip,
81 Audrey Avenue,Plainview,
205 Springtime Lane North,Levittown,
74 Overton Street,Freeport,
45 Cherry Street,Locust Valley,
357 Daub Avenue,Hewlett,
17 Camelot Lane,Setauket- East Setauket,
170-21 88th Avenue,Queens,
27 Tanwood Drive,Massapequa,
179 Capitol Avenue,Williston Park,
184 Redwood Avenue,Inwood,
18 Trim Street,Bay Shore,
19 Oakland Street,Brentwood,
204 Cedarwood Street,Islip Terrace,
244 Bayville Road,Locust Valley,
26 Duke Drive,New Hyde Park,
5821 Merrick Road,Massapequa,
1 Bridget Dr,Manorville,
337 Weirfield St,Brooklyn,
2515 Babylon Rd,Merrick,
98 Marilynn St,East Islip,
2 April Ln,Hicksville,
2854 Beverly Rd,Oceanside,
19 Overlook Dr,Mastic,
10 Quebec Rd,Island Park,
69 S Cherry Valley Ave,West Hempstead,
4 Saddlebrook Ln,Manorville,
19 William St,Amityville,
22 Arrowhead Dr,Shirley,
83 Central Ave,Amityville,
361 Decatur Ave,Shirley,
7 Sachem St,East Rockaway,
149 E Lakewood St,Patchogue,
120 Winganhauppauge Rd,Islip,
183 Lyman Rd,East Patchogue,
32 Penn Street,Port Jefferson Station,
85 Hamilton Avenue,Massapequa,
14 Center Ave,Bay Shore,
220 Old Willets Path,Smithtown,
130 Main St,Roslyn,
922 Arctic St,Lindenhurst,
12 Glen Dr,Sound Beach,
34 Lieper St,Huntington Station,
4059 Maywood Dr,Seaford,
21 Universe Dr,Levittown,
1057 Carlls Straight Path,Dix Hills,
221 Amsterdam Ave,West Babylon,
1871 Lincoln Ave,Holbrook,
1027 W St,Riverhead,
11 Salem Dr,Stony Brook,
45 Ridge Haven Dr,Ridge,
197 Overton St,Deer Park,
32 Vineyard Way,Mount Sinai,
47 Broadfield Rd,Hempstead,
66 Wooleys Ln  A,Great Neck,
35 Somerville St,Brentwood,
16 Jennings Avenue,Patchogue,
141 Tariff St,West Sayville,
95 Berkshire Dr,Farmingville,
320 Deer Rd,Ronkonkoma,
520 Wadleigh Ave,West Hempstead,
52 Harned Dr,Centerport,
200 Gibbs Pond Rd,Nesconset,
57 Harbor Park Dr,Centerport,
12 Roseland Lane,East Patchogue,
212a Lower Sheep Pasture Rd,Setauket- East Setauket,
325 Old Town Rd,East Setauket,
21 Locust Ave S,Medford,
16 Spring St,Roosevelt,
149 Fendale St,Franklin Square,
11 Downey Drive,Huntington,
