Property address,Property city,Tags
248 East Shore Road,Lindenhurst,
11 Haug Drive,Lake Ronkonkoma,
6 Chestnut St,Central Islip,
34 Whittier Drive,Mastic Beach,
160 Fallon Avenue,Elmont,(8020) SMS - 11/2025
63 Harmony Drive,Massapequa Park,
1139 Brooklyn Avenue,Brooklyn,(8020) SMS - 9/2025
29 Raspberry Lane,Levittown,
196 Burney Boulevard,Mastic,(8020) SMS - 11/2025
136 Serpentine Ln,Islandia,
82 Fulton Ave,Mastic,
3 Tompkins Place,Hempstead,(8020) SMS - 10/2025
293 Vernon Valley Road,Northport,(8020) SMS - 10/2025
51 Stevenson Rd,Hewlett,
112 Old Oak Lane,Levittown,
215 West Marie Street,Hicksville,
Seaman Neck Road,Dix Hills,(8020) SMS - 11/2025
156 Throop Street,West Babylon,(8020) SMS - 10/2025
15 Harford Drive,Coram,(8020) SMS - 10/2025
62 Lambert Ave,Farmingdale,
201 Diana Drive,Mastic Beach,(8020) SMS - 11/2025
135 West Orange Street,Brentwood,(8020) SMS - 12/2025
12 Hackensack Road,Mastic Beach,(8020) SMS - 9/2025
26 Anne Drive,Hicksville,(8020) SMS - 10/2025
161 Grand Avenue,Freeport,
73 Maple Avenue,Shirley,(8020) SMS - 7/2025
1 Martin Court,Coram,
101 Home Street,North Bellmore,
10 Walter Avenue,Hicksville,(8020) SMS - 8/2025
102 Camille Lane,East Patchogue,(8020) SMS - 8/2025
470 Miller Avenue,Freeport,
25 Mayfair Avenue,Floral Park,(8020) SMS - 7/2025
7 Kristin Court,Bay Shore,(8020) SMS - 9/2025
237 Beaver Drive,Mastic Beach,(8020) SMS - 10/2025
23 Cherry Street,East Northport,
1233 Front Street,Uniondale,(8020) SMS - 9/2025
14 Lloyd Lane,Nesconset,(8020) SMS - 8/2025
120 Lena Avenue,Freeport,(8020) SMS - 7/2025
59 Manchester Road,Huntington,(8020) SMS - 8/2025
160 Stony Hollow Road,Greenlawn,
52 Daly Road,East Northport,(8020) SMS - 7/2025
43 Bowdoin Road,Centereach,
368 Main Street,Setauket- East Setauket,(8020) SMS - 9/2025
15 Corchaug Trail,Ridge,(8020) SMS - 8/2025
27 Silo Lane,Levittown,(8020) SMS - 9/2025
32 Everett Street,Lynbrook,(8020) SMS - 9/2025
18 Cove Drive,Sound Beach,(8020) SMS - 8/2025
333 Sylvan Lane,Westbury,"(8020) SMS - 6/2025, (8020) SMS - 7/2025"
14 Carlton Avenue,Mastic,(8020) SMS - 10/2025
73 Elaine Drive,Oceanside,
39 Handsome Avenue,Sayville,(8020) SMS - 10/2025
633 7th Street,West Babylon,(8020) SMS - 9/2025
55 Moore Avenue,Oceanside,(8020) SMS - 9/2025
100 Hickory Road,Mastic Beach,(8020) SMS - 10/2025
106 Eleanor Avenue,Mastic,(8020) SMS - 9/2025
522 Hull Street,East Meadow,
76-02 Blake Avenue,Queens,
7 Gun Lane,Levittown,
25 Ripley Drive,Northport,(8020) SMS - 10/2025
11005 Main Road,East Marion,(8020) SMS - 8/2025
160 Old Farm Road,Levittown,(8020) SMS - 7/2025
17 Ritas Court,Jamesport,(8020) SMS - 7/2025
537 Lakeway Drive,West Babylon,(8020) SMS - 8/2025
1 Yardley Lane,Nesconset,(8020) SMS - 8/2025
45 South Prospect Avenue,Patchogue,(8020) SMS - 9/2025
15 Primrose Lane,Levittown,(8020) SMS - 9/2025
6 Helen Street,Centereach,
12 Garland Lane,Westbury,(8020) SMS - 11/2025
35 Maple Avenue,Bellport,(8020) SMS - 7/2025
237 Porterfield Place,Freeport,(8020) SMS - 8/2025
207 Deer Road,Ronkonkoma,(8020) SMS - 8/2025
179 Cranberry Drive,Mastic Beach,(8020) SMS - 8/2025
26 Silver Street,Patchogue,(8020) SMS - 7/2025
30 Oakdale Avenue,Central Islip,(8020) SMS - 7/2025
51 Monroe Street,Brooklyn,
119 Le Grand St,Brentwood,(8020) SMS - 8/2025
141 Arlyn Drive West,Massapequa,(8020) SMS - 10/2025
19 Madison Avenue,Franklin Square,(8020) SMS - 9/2025
64 East Chester Street,Valley Stream,(8020) SMS - 11/2025
61 Grandview Drive,Shirley,
7 Rugby Road,Westbury,(8020) SMS - 9/2025
194 Central Park Road,Plainview,(8020) SMS - 11/2025
26 Maridon Lane,Commack,(8020) SMS - 11/2025
400 Wellington Road,East Meadow,(8020) SMS - 11/2025
82 Roses Grove Road,Southampton,(8020) SMS - 11/2025
30 Fairview Blvd,Hempstead,
8 Sherwood Road,Glen Cove,(8020) SMS - 11/2025
